id,slug,category,permalink
8961,bluetooth-speaker-zipp-mini-2,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
8885,bluetooth-speaker-partybox-300,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
8960,bluetooth-speaker-zipp-2,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
7793,jbl-boombox,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
9673,bluetooth-speaker-jbl-partybox-100,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
7895,xtreme-2,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
7796,jbl-flip-4,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
8903,bluetooth-speaker-boom-3,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
9316,speaker-system-lg-rk3-one-body-loudr,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
8907,bluetooth-speaker-woburn-wifi-06e7ac50-b1ab-42d4-875b-88884185205e,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
7883,sony-srs-xb41,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
9315,portable-speaker-lg-rl2-xboom,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
7811,libratone-zipp-newline-lh0032010eu2001,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
7891,ultimate-ears-blast,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
7402,link-20,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
7893,ultimate-ears-megablast,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
9245,harman-kardon-go-play-bluetooth-speaker,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
8891,bluetooth-speaker-woburn-BT,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
8887,bluetooth-speaker-charge-4,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
9277,ultimate-ears-wonderboom-2-bluetooth-speaker-waterproof,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
3542,jbl-charge-3-blau-3542,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
8892,bluetooth-speaker-kilburn-ii,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
8902,bluetooth-speaker-megaboom-3,Bluetooth Speakers,/audio-and-music/bluetooth-speakers
