id,slug,category,permalink
9675,airpods-pro-with-wireless-case,Headphones,/audio-and-music/headphones
9696,in-ear-headphones-jabra-elite75t,Headphones,/audio-and-music/headphones
9019,airpods-with-wireless-charging-case-2019-gen-2,Headphones,/audio-and-music/headphones
9900,samsung-galaxy-buds-in-ear-headphones,Headphones,/audio-and-music/headphones
8533,sony-wh-1000xm3-over-ear-headphones,Headphones,/audio-and-music/headphones
9475,in-ear-headphones-libratone-track-air,Headphones,/audio-and-music/headphones
10001,bowers-wilkins-headphones-px7,Headphones,/audio-and-music/headphones
8957,in-ear-headphones-galaxy-buds,Headphones,/audio-and-music/headphones
7628,elite-65t,Headphones,/audio-and-music/headphones
8897,momentum-true-wireless,Headphones,/audio-and-music/headphones
7620,gear-iconx,Headphones,/audio-and-music/headphones
7619,x-in-ear,Headphones,/audio-and-music/headphones
9393,sony-wf-1000xm3-in-ear,Headphones,/audio-and-music/headphones
8424,free-x,Headphones,/audio-and-music/headphones
8959,in-ear-headphones-minor-ii-bluetooth,Headphones,/audio-and-music/headphones
9051,bose-soundsport-wireless,Headphones,/audio-and-music/headphones
8958,over-ear-headphones-surface-headphones,Headphones,/audio-and-music/headphones
7624,soundwear-companion,Headphones,/audio-and-music/headphones
8318,cx-sport,Headphones,/audio-and-music/headphones
8899,sony-headphones-mdr-z-7-m2,Headphones,/audio-and-music/headphones
8293,wf-sp-700n,Headphones,/audio-and-music/headphones
8385,zolo-liberty,Headphones,/audio-and-music/headphones
7918,b-o-play-beoplay-e4,Headphones,/audio-and-music/headphones
7104,google-pixel-buds,Headphones,/audio-and-music/headphones
7461,bluetooth-headphones-studio3-over-ear-headset,Headphones,/audio-and-music/headphones
9241,jabra-elite-85h-over-ear-headphones-bluetooth,Headphones,/audio-and-music/headphones
7159,headphones-bluetooth-wh-1000xm2b-black,Headphones,/audio-and-music/headphones
2536,bose-quietcomfort-35-2536,Headphones,/audio-and-music/headphones
7884,sony-wf-1000-x,Headphones,/audio-and-music/headphones
7885,sony-wh-h-900-n,Headphones,/audio-and-music/headphones
8889,headphones-a11-800-anc,Headphones,/audio-and-music/headphones
7097,headphones-quietcomfort-35-ii,Headphones,/audio-and-music/headphones
8356,dj-hdj-x-5-s,Headphones,/audio-and-music/headphones
8888,headphones-soundgear,Headphones,/audio-and-music/headphones
8305,bt-hs-elite-active-65t,Headphones,/audio-and-music/headphones
9242,kygo-e7-900-in-ear-true-wireless-headphones-bluetooth,Headphones,/audio-and-music/headphones
1839,sennheiser-momentum-2-wireless-on-ear-1839,Headphones,/audio-and-music/headphones
7813,logitech-981-000605-g633-artemis,Headphones,/audio-and-music/headphones
7755,beats-powerbeats-3-wireless,Headphones,/audio-and-music/headphones
9130,beats-powerbeats-pro-black,Headphones,/audio-and-music/headphones
7818,marshall-major-iii,Headphones,/audio-and-music/headphones
