id,slug,category,permalink
9879,laptop-acer-nitro-5-an517-51-76b3-i7-16gb-1tb-ssd-geforce-gtx-1660-ti,PC Gaming,/computers/gaming-computers
9590,laptop-omen-15-dh0007ng-i7-16gb-1tb-hdd-512gb-ssd-geforce-rtx-2070,PC Gaming,/computers/gaming-computers
9594,laptop-omen-17-cb0002ng-i7-16gb-1tb-hdd-512gb-ssd-geforce-gtx-1660ti,PC Gaming,/computers/gaming-computers
9729,laptop-omen-by-hp-17-an106ng-i7-16gb-256gb-ssd-1tb-hdd-geforce-gtx-1070,PC Gaming,/computers/gaming-computers
9211,laptop-razer-blade-pro-17-i7-9750h-16gb-512gb-ssd-geforce-rtx-2080,PC Gaming,/computers/gaming-computers
9267,laptop-omen-by-hp-15-dc1022ng-i7-9750h-16gb-512gb-ssd-1tb-hdd-geforce-gtx-1660-ti,PC Gaming,/computers/gaming-computers
8829,acer-laptop-predator-helios-ph317-52-78br-i7-8750h-16gb-1tb-256gb,PC Gaming,/computers/gaming-computers
8971,laptop-msi-stealth-gs65-8sf-i7-8750h-16gb-512gb,PC Gaming,/computers/gaming-computers
8163,hp-omen-17-an132ng-i5-8300h-8gb-1tb-128gb,PC Gaming,/computers/gaming-computers
9621,laptop-dell-g5-5590-i7-16gb-512gb-ssd-geforce-rtx-2060,PC Gaming,/computers/gaming-computers
8973,laptop-razer-blade-stealth-13-i7-8565u-16gb-512gb,PC Gaming,/computers/gaming-computers
8254,msi-gp73-8re-083de-i7-8750h-16gb-256gb-1tb,PC Gaming,/computers/gaming-computers
8972,laptop-razer-blade-15-i7-8750h-16gb-512gb-rtx2080,PC Gaming,/computers/gaming-computers
9115,laptop-alienware-m15-i7-8750h-16gb-256gb-ssd-1tb-hdd-rtx-2070,PC Gaming,/computers/gaming-computers
6832,laptop-legion-y520-15ikbn-i7-7700hq-16gb-ram-128gb-sdd-1tb-hdd-30c04a0c-a5bf-4492-89d3-8c7f77713f38,PC Gaming,/computers/gaming-computers
8863,hp-laptop-omen-17-an136ng-i7-8750h-16gb-1tb-256gb-black,PC Gaming,/computers/gaming-computers
7696,acer-predator-helios-300-ph317-51-7680-17-3-display-core-i7-prozessor-16-gb-ram-256-gb-ssd-1-tb-hdd-geforce-gtx-1060,PC Gaming,/computers/gaming-computers
5847,u717-intel-core-i7-7700-32gb-ram-1tb-hdd-5847,PC Gaming,/computers/gaming-computers
8931,blade-stealth-2019-gaming-notebook-full-hd-model,PC Gaming,/computers/gaming-computers
8864,hp-laptop-omen-15-dc0311ng-i7-8750h-32gb-1tb-256gb-black,PC Gaming,/computers/gaming-computers
7697,acer-predator-helios-300-ph317-52-74ks-17-3-display-core-i7-prozessor-16-gb-ram-256-gb-ssd-1-tb-hdd-geforce-gtx-1060,PC Gaming,/computers/gaming-computers
8260,razer-blade-pro-i7-7700hq-16gb-2tb-hdd-256gb-ssd,PC Gaming,/computers/gaming-computers
8205,lenovo-y920-17ikb-ci7-g7-i7-7820hk-32gb-256gb-2tb-1070,PC Gaming,/computers/gaming-computers
8242,msi-gt75-8rg-033-i7-8850h-32gb-512gb-1tb,PC Gaming,/computers/gaming-computers
8258,razer-blade-c1nt-144hz-i7-8750h-gtx1070,PC Gaming,/computers/gaming-computers
8060,asus-gl503vm-ed090t-i7-7700hq-16gb-1tb-128gb,PC Gaming,/computers/gaming-computers
7694,acer-predator-15-g9-593-751x-15-6-display-core-i7-prozessor-16-gb-ram-256-gb-ssd-1-tb-hdd-geforce-gtx-1070,PC Gaming,/computers/gaming-computers
8847,asus-laptop-gx531gm-es037t-i7-8750h-8gb-512gb-ssd-black,PC Gaming,/computers/gaming-computers
5368,omen-notebook-17-w133ng-5368,PC Gaming,/computers/gaming-computers
8208,lenovo-y520-15ikba-i7-7700hq-8gb-1tb-128gb-ssd,PC Gaming,/computers/gaming-computers
7698,acer-predator-helios-300-ph317-52-74sl-17-3-display-core-i7-prozessor-8-gb-ram-256-gb-ssd-1-tb-hdd-geforce-gtx-1060,PC Gaming,/computers/gaming-computers
8795,xmg-pro-17-m18hrv-17-3-display-i7-processor-16-gb-ram-150gb-ssd-1tb-hdd-geforce-gtx-1070,PC Gaming,/computers/gaming-computers
8225,medion-erazer-md-60840-de-i7-7820hk-32gb-2tb-1tb-ssd,PC Gaming,/computers/gaming-computers
9589,laptop-omen-15-dh0004ng-i7-16gb-1tb-hdd-512gb-ssd-geforce-rtx-2060,PC Gaming,/computers/gaming-computers
9894,laptop-acer-predator-helios-300-ph317-53-73dv-i7-16gb-1tb-ssd-geforce-gtx-1660-ti,PC Gaming,/computers/gaming-computers
9348,laptop-hp-pavilion-17-cd0300ng-i5-9300h-16gb-512gb-ssd-1tb-hdd-geforce-gtx-1660-ti,PC Gaming,/computers/gaming-computers
8159,hp-omen-17-an134ng-i7-8750h-16gb-1tb-256gb,PC Gaming,/computers/gaming-computers
9512,laptop-asus-rog-strix-g-g731gu-ev032t-i7-9750h-16gb-512gb-ssd-geforce-gtx-1660-ti,PC Gaming,/computers/gaming-computers
8821,acer-desktop-nitro-n50-i5-8400-8gb-1tb-hdd-128gb-ssd,PC Gaming,/computers/gaming-computers
9587,laptop-hp-pavilion-gaming-15-ec0005ng-ryzen-5-8gb-512gb-ssd-geforce-gtx-1650,PC Gaming,/computers/gaming-computers
9062,laptop-lenovo-legion-y740-15ichg-i7-8750h-16gb-1tb-512gb-rtx2070,PC Gaming,/computers/gaming-computers
9210,laptop-razer-blade-pro-17-i7-9750h-16gb-512gb-ssd-geforce-rtx-2060,PC Gaming,/computers/gaming-computers
9734,laptop-acer-nitro-5-i5-8gb-512gb-ssd-geforce-gtx-1650,PC Gaming,/computers/gaming-computers
9603,laptop-hp-pavilion-gaming-15-ec0020ng-ryzen-7-16gb-512gb-ssd-geforce-gtx-1650,PC Gaming,/computers/gaming-computers
8792,hyrican-not01576-17-3-display-i7-processor-16-gb-ram-240-gb-ssd-1tb-hdd-geforce-gtx-1060,PC Gaming,/computers/gaming-computers
