id,slug,category,permalink
9994,monitor-acer-nitro-vg270-27-um-hv0ee-001,Monitors,/computers/monitors
9996,monitor-acer-pro-designer-pe270k-27-um-hp0ee-001,Monitors,/computers/monitors
10005,monitor-philips-b-line-27-272b7qubheb-00,Monitors,/computers/monitors
10006,monitor-philips-c-line-27-276c8-00,Monitors,/computers/monitors
9991,monitor-acer-nitro-ei491crpbmiiipx-49-um-se1ee-p01,Monitors,/computers/monitors
9995,monitor-acer-dm431kbmiiipx-43-um-md1ee-002,Monitors,/computers/monitors
9997,monitor-acer-pro-designer-pe320qk-32-um-jp0ee-001,Monitors,/computers/monitors
9678,monitor-34-lg-34wl500,Monitors,/computers/monitors
9040,monitor-lg-32ul950-w-ultrafine-uhd-4k,Monitors,/computers/monitors
8983,monitor-benq-ex3501r-curved-uwqhd,Monitors,/computers/monitors
9372,monitor-32-aoc-c32g1,Monitors,/computers/monitors
9802,apple-monitor-32-apple-pro-display-xdr-mwpe2d-a,Monitors,/computers/monitors
6789,monitor-pg278qr-aed32a49-603e-4f1c-9d02-d03670dc1af4,Monitors,/computers/monitors
9377,monitor-49-philips-499p9h-00,Monitors,/computers/monitors
6865,monitor-lu28e590ds-en-d15b1d45-0f92-4d0b-aade-353e0b8f6698,Monitors,/computers/monitors
9676,monitor-49-lg-49wl95c,Monitors,/computers/monitors
6843,monitor-32mp58hq-p-c7b76bca-0adb-4b66-b015-f43aee1f1983,Monitors,/computers/monitors
6171,monitor-34uc79g-b,Monitors,/computers/monitors
