id,slug,category,permalink
8788,mavic-2-pro,Drones for pros,/drones/for-pro
9692,dji-mavic-mini,Drones for pros,/drones/for-pro
7462,dji-mavic-air-onyx,Drones for pros,/drones/for-pro
9929,dji-drone-dji-mavic-air-fly-more-combo,Drones for pros,/drones/for-pro
9017,mavic-2-intelligent-flight-battery,Drones for pros,/drones/for-pro
9018,mavic-2-flight-more-kit,Drones for pros,/drones/for-pro
9167,mavic-2-zoom,Drones for pros,/drones/for-pro
7684,mavic-air-intelligent-flight-battery,Drones for pros,/drones/for-pro
7378,battery-for-mavic-pro,Drones for pros,/drones/for-pro
7380,battery-for-drone-spark,Drones for pros,/drones/for-pro
7376,mavic-pro-platinum,Drones for pros,/drones/for-pro
6367,karma-drone-with-gopro-frame-and-grip,Drones for pros,/drones/for-pro
9178,dji-goggles-racing-edition,Drones for pros,/drones/for-pro
6756,drone-spark-alpine-6756,Drones for pros,/drones/for-pro
5692,dji-mavic-pro-controller-5692,Drones for pros,/drones/for-pro
