id,slug,category,permalink
9901,smartphone-samsung-galaxy-s20-128gb,Smartphones,/phones-and-tablets/smartphones
9902,smartphone-samsung-galaxy-s20-plus,Smartphones,/phones-and-tablets/smartphones
9903,smartphone-samsung-galaxy-s20-ultra-5g-128gb,Smartphones,/phones-and-tablets/smartphones
9904,smartphone-samsung-galaxy-z-flip-256gb,Smartphones,/phones-and-tablets/smartphones
10083,apple-smartphone-iphone-se-128gb-2020,Smartphones,/phones-and-tablets/smartphones
10082,apple-smartphone-iphone-se-64gb-2020,Smartphones,/phones-and-tablets/smartphones
10084,apple-smartphone-iphone-se-256gb-2020,Smartphones,/phones-and-tablets/smartphones
7943,iphone-xs-64gb,Smartphones,/phones-and-tablets/smartphones
9484,iphone-11-64,Smartphones,/phones-and-tablets/smartphones
9478,iphone-11-pro-64,Smartphones,/phones-and-tablets/smartphones
7949,iphone-xr-64gb,Smartphones,/phones-and-tablets/smartphones
10088,oneplus-smartphone-oneplus-8-pro-256gb,Smartphones,/phones-and-tablets/smartphones
10087,oneplus-smartphone-oneplus-8-pro-128gb,Smartphones,/phones-and-tablets/smartphones
10086,oneplus-smartphone-oneplus-8-256gb,Smartphones,/phones-and-tablets/smartphones
10085,oneplus-smartphone-oneplus-8-128gb,Smartphones,/phones-and-tablets/smartphones
7948,iphone-xs-max-64gb,Smartphones,/phones-and-tablets/smartphones
9482,iphone-11-pro-max-256,Smartphones,/phones-and-tablets/smartphones
7950,iphone-xr-128gb,Smartphones,/phones-and-tablets/smartphones
9486,iphone-11-256,Smartphones,/phones-and-tablets/smartphones
7944,iphone-xs-256gb,Smartphones,/phones-and-tablets/smartphones
6996,iphone-x-64gb,Smartphones,/phones-and-tablets/smartphones
9423,smartphone-samsung-note-10-plus-256gb,Smartphones,/phones-and-tablets/smartphones
6994,iphone-8-64gb,Smartphones,/phones-and-tablets/smartphones
9480,iphone-11-pro-512,Smartphones,/phones-and-tablets/smartphones
9055,galaxy-a50-128gb-2019,Smartphones,/phones-and-tablets/smartphones
8934,galaxy-s10-128gb,Smartphones,/phones-and-tablets/smartphones
9485,iphone-11-128,Smartphones,/phones-and-tablets/smartphones
7946,iphone-xs-max-256gb,Smartphones,/phones-and-tablets/smartphones
7947,iphone-xs-max-512gb,Smartphones,/phones-and-tablets/smartphones
9656,smartphone-google-pixel-4-xl-64gb,Smartphones,/phones-and-tablets/smartphones
9483,iphone-11-pro-max-512,Smartphones,/phones-and-tablets/smartphones
9805,samsung-smartphone-samsung-galaxy-a51-128gb,Smartphones,/phones-and-tablets/smartphones
9755,smartphone-xiaomi-mi-note-10-128gb,Smartphones,/phones-and-tablets/smartphones
9479,iphone-11-pro-256,Smartphones,/phones-and-tablets/smartphones
9834,samsung-smartphone-samsung-galaxy-a71-128gb,Smartphones,/phones-and-tablets/smartphones
6995,iphone-8-plus-64gb,Smartphones,/phones-and-tablets/smartphones
9481,iphone-11-pro-max-64,Smartphones,/phones-and-tablets/smartphones
9381,smartphone-lg-k40-32gb,Smartphones,/phones-and-tablets/smartphones
9057,mi-9-smartphone-128gb-2019,Smartphones,/phones-and-tablets/smartphones
9056,mi-9-smartphone-64gb-2019,Smartphones,/phones-and-tablets/smartphones
9145,smartphone-google-pixel-3a-64gb,Smartphones,/phones-and-tablets/smartphones
9327,smartphone-lg-q60-64gb,Smartphones,/phones-and-tablets/smartphones
9146,smartphone-google-pixel-3a-xl-64gb,Smartphones,/phones-and-tablets/smartphones
9914,samsung-smartphone-samsung-s10-lite,Smartphones,/phones-and-tablets/smartphones
9422,smartphone-samsung-note-10-256gb,Smartphones,/phones-and-tablets/smartphones
7925,samsung-galaxy-note9,Smartphones,/phones-and-tablets/smartphones
8935,galaxy-s10-plus-512gb,Smartphones,/phones-and-tablets/smartphones
8267,pixel-3-64gb,Smartphones,/phones-and-tablets/smartphones
5830,samsung-galaxy-s8-64gb-5830,Smartphones,/phones-and-tablets/smartphones
7594,samsung-galaxy-s9-plus-03182,Smartphones,/phones-and-tablets/smartphones
6997,iphone-8-256gb,Smartphones,/phones-and-tablets/smartphones
9271,smartphone-oneplus-7-128gb,Smartphones,/phones-and-tablets/smartphones
8269,pixel-3xl-64gb,Smartphones,/phones-and-tablets/smartphones
7945,iphone-xs-512gb,Smartphones,/phones-and-tablets/smartphones
9753,lg-g8x-thinq-dual-screen-128-gb-dual-sim,Smartphones,/phones-and-tablets/smartphones
10065,xiaomi-smartphone-xiaomi-mi-9t-128gb,Smartphones,/phones-and-tablets/smartphones
9783,samsung-smartphone-samsung-galaxy-a90-128gb,Smartphones,/phones-and-tablets/smartphones
9296,smartphone-lg-g8s-thinq-128gb,Smartphones,/phones-and-tablets/smartphones
7650,smartphone-p20-pro,Smartphones,/phones-and-tablets/smartphones
9217,smartphone-motorola-moto-g7-power-64gb,Smartphones,/phones-and-tablets/smartphones
9757,mi-9t-pro-128gb-78f63db1-036a-4998-85c4-8e9a77f05579,Smartphones,/phones-and-tablets/smartphones
9325,smartphone-huawei-p-smart-2019-64gb,Smartphones,/phones-and-tablets/smartphones
9214,smartphone-motorola-one-vision-128gb,Smartphones,/phones-and-tablets/smartphones
9326,smartphone-huawei-p-smart-z-64gb,Smartphones,/phones-and-tablets/smartphones
8943,view-20-b-128gb,Smartphones,/phones-and-tablets/smartphones
8015,xz2-premium-dualsim,Smartphones,/phones-and-tablets/smartphones
8012,xa2-plus-dualsim,Smartphones,/phones-and-tablets/smartphones
9143,smartphone-nokia-8-1-64gb,Smartphones,/phones-and-tablets/smartphones
2819,iphone-7-256-gb-2819,Smartphones,/phones-and-tablets/smartphones
9858,asus-smartphone-rog-phone-2-128gb,Smartphones,/phones-and-tablets/smartphones
8005,8-sirocco,Smartphones,/phones-and-tablets/smartphones
9820,nokia-smartphone-nokia-6-2-64gb-dual-sim,Smartphones,/phones-and-tablets/smartphones
