id,slug,category,permalink
10029,apple-tablet-apple-12-9-ipad-pro-wi-fi-lte-256gb-2020,Tablets,/phones-and-tablets/tablets
10018,apple-tablet-apple-11-ipad-pro-wi-fi-512gb-2020,Tablets,/phones-and-tablets/tablets
10016,apple-tablet-apple-11-ipad-pro-wi-fi-128gb-2020,Tablets,/phones-and-tablets/tablets
9941,microsoft-tablet-microsoft-pro-x-wi-fi-lte-512gb,Tablets,/phones-and-tablets/tablets
9495,tablet-apple-ipad-2019-wi-fi-128gb,Tablets,/phones-and-tablets/tablets
9998,microsoft-tablet-microsoft-pro-7-wi-fi-512gb,Tablets,/phones-and-tablets/tablets
9493,tablet-apple-ipad-2019-wi-fi-32gb,Tablets,/phones-and-tablets/tablets
9025,ipad-air-64gb-wifi-2019,Tablets,/phones-and-tablets/tablets
10071,samsung-tablet-samsung-s5e-wi-fi-128gb,Tablets,/phones-and-tablets/tablets
10072,samsung-tablet-samsung-s5e-lte-128gb,Tablets,/phones-and-tablets/tablets
8529,ipad-pro-129-256gb-lte-2018,Tablets,/phones-and-tablets/tablets
7622,ipad-c7a96ea4-9d1e-45c2-a78e-9c19b078ac09,Tablets,/phones-and-tablets/tablets
7621,ipad,Tablets,/phones-and-tablets/tablets
9494,tablet-apple-ipad-2019-wi-fi-cellular-32gb,Tablets,/phones-and-tablets/tablets
8452,ipad-pro-12-9-64gb-2018,Tablets,/phones-and-tablets/tablets
7920,microsoft-surface-go-pentium-gold-4415y-128-gb-ssd-8-gb-ram,Tablets,/phones-and-tablets/tablets
9635,tablet-microsoft-surface-pro-7-wi-fi-128gb,Tablets,/phones-and-tablets/tablets
7921,microsoft-surface-go-10-intel-pentium-gold-4415y-64-gb-ssd-8-gb-ram-hd-grafik-615,Tablets,/phones-and-tablets/tablets
9634,tablet-microsoft-surface-pro-7-wi-fi-256gb,Tablets,/phones-and-tablets/tablets
10067,samsung-tablet-samsung-galaxy-tab-active-pro-wi-fi-64gb,Tablets,/phones-and-tablets/tablets
10069,samsung-tablet-samsung-s6-lite-wi-fi,Tablets,/phones-and-tablets/tablets
10070,samsung-tablet-samsung-s6-lite-lte,Tablets,/phones-and-tablets/tablets
10068,samsung-tablet-samsung-galaxy-tab-active-pro-lte-64gb,Tablets,/phones-and-tablets/tablets
8449,ipad-pro-11-256gb-2018,Tablets,/phones-and-tablets/tablets
9395,tablet-samsung-galaxy-tab-s6-wi-fi-128gb,Tablets,/phones-and-tablets/tablets
10028,apple-tablet-apple-12-9-ipad-pro-wi-fi-lte-128gb-2020,Tablets,/phones-and-tablets/tablets
8448,ipad-pro-11-64gb-2018,Tablets,/phones-and-tablets/tablets
9637,tablet-microsoft-surface-pro-x-lte-256gb-16gb,Tablets,/phones-and-tablets/tablets
7623,ipad-96bd0406-c904-4427-8146-94068eca0da9,Tablets,/phones-and-tablets/tablets
10000,microsoft-tablet-microsoft-pro-x-wi-fi-lte-256gb,Tablets,/phones-and-tablets/tablets
10025,apple-tablet-apple-12-9-ipad-pro-wi-fi-256gb-2020,Tablets,/phones-and-tablets/tablets
9104,galaxy-tab-a-10-1-32-gb-wi-fi-2019,Tablets,/phones-and-tablets/tablets
9942,microsoft-tablet-microsoft-pro-x-wi-fi-128gb,Tablets,/phones-and-tablets/tablets
10027,apple-tablet-apple-12-9-ipad-pro-wi-fi-1tb-2020,Tablets,/phones-and-tablets/tablets
9999,microsoft-tablet-microsoft-pro-x-wi-fi-lte-128gb,Tablets,/phones-and-tablets/tablets
10017,apple-tablet-apple-11-ipad-pro-wi-fi-256gb-2020,Tablets,/phones-and-tablets/tablets
9396,tablet-samsung-galaxy-tab-s6-lte-256gb,Tablets,/phones-and-tablets/tablets
10024,apple-tablet-apple-12-9-ipad-pro-wi-fi-128gb-2020,Tablets,/phones-and-tablets/tablets
10023,apple-tablet-apple-11-ipad-pro-wi-fi-lte-1tb-2020,Tablets,/phones-and-tablets/tablets
9026,ipad-air-64gb-wifi-lte-2019,Tablets,/phones-and-tablets/tablets
8524,ipad-pro-11-256gb-lte-2018,Tablets,/phones-and-tablets/tablets
8523,ipad-pro-11-64gb-lte-2018,Tablets,/phones-and-tablets/tablets
