id,slug,category,permalink
4878,fitbit-charge-2-large-4878,Activity Trackers,/wearables/activity-trackers
8803,activity-tracker-fitbit-charge-3,Activity Trackers,/wearables/activity-trackers
5104,garmin-vivosmart-hr-5104,Activity Trackers,/wearables/activity-trackers
8377,activity-tracker-garmin-vivosmart-4-s-m,Activity Trackers,/wearables/activity-trackers
9388,activity-tracker-samsung-galaxy-fit-198-mm,Activity Trackers,/wearables/activity-trackers
7167,activity-tracker-gearfit-2-pro-small,Activity Trackers,/wearables/activity-trackers
8370,vivosmart-4-ww-blue-silver-s-m,Activity Trackers,/wearables/activity-trackers
8380,activity-tracker-vivosport-limelight-large,Activity Trackers,/wearables/activity-trackers
6942,fitness-watch-vivoactive-hr-e29ca913-d4d3-4d73-b915-19c52f3030ac,Activity Trackers,/wearables/activity-trackers
4841,fitbit-blaze-small-4841,Activity Trackers,/wearables/activity-trackers
4215,tomtom-touch-fitness-tracker-large-4215,Activity Trackers,/wearables/activity-trackers
6944,fitness-watch-vivosmart-3-3b704260-e62c-445b-b224-bc6235166332,Activity Trackers,/wearables/activity-trackers
