id,slug,category,permalink
9519,smartwatch-apple-watch-series-5-gps-space-grey-aluminum-case-with-sport-band-40mm,Apple Watches,/wearables/apple-watches
9518,smartwatch-apple-watch-series-5-gps-gold-aluminum-case-with-sport-band-40mm,Apple Watches,/wearables/apple-watches
9533,smartwatch-apple-watch-series-5-gps-cellular-space-grey-aluminum-case-with-sport-band-44mm,Apple Watches,/wearables/apple-watches
9528,smartwatch-apple-watch-series-5-gps-cellular-space-grey-aluminum-case-with-sport-band-40mm,Apple Watches,/wearables/apple-watches
9522,smartwatch-apple-watch-series-5-gps-silver-aluminum-case-with-sport-band-44mm,Apple Watches,/wearables/apple-watches
9527,smartwatch-apple-watch-series-5-gps-cellular-gold-aluminum-case-with-sport-band-40mm,Apple Watches,/wearables/apple-watches
9517,smartwatch-apple-watch-series-5-gps-silver-aluminum-case-with-sport-band-40mm,Apple Watches,/wearables/apple-watches
7956,watch-series-4-40mm-aluminium-case-black-sport-band-cellular,Apple Watches,/wearables/apple-watches
9525,smartwatch-apple-watch-nike-series-5-gps-silver-aluminum-case-with-sport-band-44mm,Apple Watches,/wearables/apple-watches
9520,smartwatch-apple-watch-nike-series-5-gps-silver-aluminum-case-with-sport-band-40mm,Apple Watches,/wearables/apple-watches
9531,smartwatch-apple-watch-series-5-gps-cellular-silver-aluminum-case-with-sport-band-44mm,Apple Watches,/wearables/apple-watches
9542,smartwatch-apple-watch-series-5-gps-cellular-silver-stainless-steel-case-with-sport-band-44mm,Apple Watches,/wearables/apple-watches
9545,smartwatch-apple-watch-series-5-gps-cellular-silver-stainless-steel-case-with-milanese-loop-44mm,Apple Watches,/wearables/apple-watches
7953,watch-series-4-44mm-aluminium-case-black-sport-band,Apple Watches,/wearables/apple-watches
9523,smartwatch-apple-watch-series-5-gps-gold-aluminum-case-with-sport-band-44mm,Apple Watches,/wearables/apple-watches
9535,smartwatch-apple-watch-nike-series-5-gps-cellular-space-grey-aluminum-case-with-sport-band-44mm,Apple Watches,/wearables/apple-watches
9541,smartwatch-apple-watch-series-5-gps-cellular-space-black-stainless-steel-case-with-milanese-loop-40mm,Apple Watches,/wearables/apple-watches
9532,smartwatch-apple-watch-series-5-gps-cellular-gold-aluminum-case-with-sport-band-44mm,Apple Watches,/wearables/apple-watches
9544,smartwatch-apple-watch-series-5-gps-cellular-space-black-stainless-steel-case-with-sport-band-44mm,Apple Watches,/wearables/apple-watches
8807,series-4-nike-gps-cell-44mm-aluminium,Apple Watches,/wearables/apple-watches
7959,watch-series-4-44mm-stainless-steel-case-black-sport-band-cellular,Apple Watches,/wearables/apple-watches
9539,smartwatch-apple-watch-series-5-gps-cellular-silver-stainless-steel-case-with-milanese-loop-40mm,Apple Watches,/wearables/apple-watches
9536,smartwatch-apple-watch-series-5-gps-cellular-silver-stainless-steel-case-with-sport-band-40mm,Apple Watches,/wearables/apple-watches
9529,smartwatch-apple-watch-nike-series-5-gps-cellular-silver-aluminum-case-with-sport-band-40mm,Apple Watches,/wearables/apple-watches
