id,slug,category,permalink
9446,smartwatch-samsung-galaxy-watch-active2-aluminum-case-fluororubber-44mm,Smartwatches,/wearables/smartwatches
9443,smartwatch-samsung-galaxy-watch-active2-aluminum-case-fluororubber-40mm,Smartwatches,/wearables/smartwatches
9566,smartwatch-fossil-carlyle-hr-5th-gen-44mm,Smartwatches,/wearables/smartwatches
8992,smartwatch-samsung-galaxy-watch-active,Smartwatches,/wearables/smartwatches
9568,smartwatch-fitbit-versa-2-alminum-case-s-l,Smartwatches,/wearables/smartwatches
9698,smartwatch-huawei-watch-gt2-sport-edition-46mm,Smartwatches,/wearables/smartwatches
9448,smartwatch-samsung-galaxy-watch-active2-lte-stainless-steel-case-real-leather-44mm,Smartwatches,/wearables/smartwatches
9447,smartwatch-samsung-galaxy-watch-active2-stainless-steel-case-real-leather-44mm,Smartwatches,/wearables/smartwatches
9700,smartwatch-huawei-watch-gt2-classic-46mm,Smartwatches,/wearables/smartwatches
8812,smartwatch-samsung-galaxy-watch-lte-42mm,Smartwatches,/wearables/smartwatches
9445,smartwatch-samsung-galaxy-watch-active2-lte-stainless-steel-case-real-leather-40mm,Smartwatches,/wearables/smartwatches
9688,smartwatch-garmin-venu-43mm-stainless-steel-case-silicone-band,Smartwatches,/wearables/smartwatches
8802,smartwatch-fitbit-versa,Smartwatches,/wearables/smartwatches
9699,smartwatch-huawei-watch-gt2-elite-46mm,Smartwatches,/wearables/smartwatches
8401,smartwatch-fitbit-versa-special-edition,Smartwatches,/wearables/smartwatches
9064,smartwatch-huawei-watch-gt-active,Smartwatches,/wearables/smartwatches
9830,skagen-smartwatch-skagen-falster-3-42mm,Smartwatches,/wearables/smartwatches
9362,sport-gps-watch-fossil-ftw-4021-sport-200-mm,Smartwatches,/wearables/smartwatches
9013,smartwatch-fitbit-versa-lite-edition,Smartwatches,/wearables/smartwatches
7414,huawei-watch-classic-38-mm-gold-with-gold-band,Smartwatches,/wearables/smartwatches
9444,smartwatch-samsung-galaxy-watch-active2-stainless-steel-case-real-leather-40mm,Smartwatches,/wearables/smartwatches
9703,smartwatch-huawei-watch-gt2-classic-42mm,Smartwatches,/wearables/smartwatches
8950,smartwatch-falster-2,Smartwatches,/wearables/smartwatches
9823,diesel-smartwatch-diesel-on-axial-48mm,Smartwatches,/wearables/smartwatches
